2022-05-18 23:05:194 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:647 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:810 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> id: makes]
2022-05-18 23:05:917 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> id: models]
2022-05-18 23:05:995 INFO  NewAndUsedCarSearchPage :52 - Select location : NSW - Sydney
2022-05-18 23:05:70 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> id: priceTo]
2022-05-18 23:05:867 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (51b7df269dac990c771904610ea9473a)] -> id: search-submit]
2022-05-18 23:05:192 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 23 Audi A1s for Sale under $50,000 in Sydney, NSW
2022-05-18 23:05:05 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:744 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:896 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:33 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> id: makes]
2022-05-18 23:05:102 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> id: models]
2022-05-18 23:05:196 INFO  NewAndUsedCarSearchPage :52 - Select location : NSW - All
2022-05-18 23:05:258 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> id: priceTo]
2022-05-18 23:05:102 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (19c6310d49713688fa6088f9b7ad12cd)] -> id: search-submit]
2022-05-18 23:05:133 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 57 Honda Civics for Sale under $20,000 in NSW
2022-05-18 23:05:882 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:459 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (25b68aefa9e06327d34656ba914c9e59)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:705 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (25b68aefa9e06327d34656ba914c9e59)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:852 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (25b68aefa9e06327d34656ba914c9e59)] -> id: makes]
2022-05-18 23:05:924 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (25b68aefa9e06327d34656ba914c9e59)] -> id: models]
2022-05-18 23:05:997 INFO  NewAndUsedCarSearchPage :52 - Select location : SA - Adelaide
2022-05-18 23:05:65 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (25b68aefa9e06327d34656ba914c9e59)] -> id: priceTo]
2022-05-18 23:05:680 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:195 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:132 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:197 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> id: makes]
2022-05-18 23:05:389 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> id: models]
2022-05-18 23:05:464 INFO  NewAndUsedCarSearchPage :52 - Select location : VIC - Melbourne
2022-05-18 23:05:532 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> id: priceTo]
2022-05-18 23:05:530 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (01efd59196b3f73755d82f71c4cf284e)] -> id: search-submit]
2022-05-18 23:05:771 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 61 Nissan Qashqais for Sale under $40,000 in Melbourne, VIC
2022-05-18 23:05:573 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:825 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:94 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:192 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> id: makes]
2022-05-18 23:05:345 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> id: models]
2022-05-18 23:05:434 INFO  NewAndUsedCarSearchPage :52 - Select location : ACT - All
2022-05-18 23:05:537 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> id: priceTo]
2022-05-18 23:05:164 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (eb73792fa90b2988952abefb985771d3)] -> id: search-submit]
2022-05-18 23:05:215 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 1 Jaguar F-Pace for Sale under $80,000 in ACT
2022-05-18 23:05:32 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:292 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:649 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:982 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:147 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> id: makes]
2022-05-18 23:05:241 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> id: models]
2022-05-18 23:05:324 INFO  NewAndUsedCarSearchPage :52 - Select location : NSW - Sydney
2022-05-18 23:05:426 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> id: priceTo]
2022-05-18 23:05:540 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (02c4cd2bc7730f219e4ef52f89cc9583)] -> id: search-submit]
2022-05-18 23:05:650 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 23 Audi A1s for Sale under $50,000 in Sydney, NSW
2022-05-18 23:05:411 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:79 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:297 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:369 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> id: makes]
2022-05-18 23:05:537 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> id: models]
2022-05-18 23:05:635 INFO  NewAndUsedCarSearchPage :52 - Select location : NSW - All
2022-05-18 23:05:701 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> id: priceTo]
2022-05-18 23:05:860 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (72d810e762352b42a75bbacb2ac82657)] -> id: search-submit]
2022-05-18 23:05:891 INFO  NewAndUsedCarSearchPage :66 - Verify page navigate to new and used acr search page : 57 Honda Civics for Sale under $20,000 in NSW
2022-05-18 23:05:631 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:345 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:616 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-18 23:05:686 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> id: makes]
2022-05-18 23:05:831 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> id: models]
2022-05-18 23:05:902 INFO  NewAndUsedCarSearchPage :52 - Select location : SA - Adelaide
2022-05-18 23:05:968 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> id: priceTo]
2022-05-18 23:05:37 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (33124693c24f6b4ba168a897d8a5e75b)] -> id: search-submit]
2022-05-18 23:05:330 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:641 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (bfac7792a3ee71b83a93bdf7250a41d0)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-18 23:05:822 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (bfac7792a3ee71b83a93bdf7250a41d0)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 00:05:43 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 00:05:42 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 00:05:487 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 00:05:581 INFO  NewAndUsedCarSearchPage :44 - select car make from dropDown : [[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> id: makes]
2022-05-19 00:05:712 INFO  NewAndUsedCarSearchPage :48 - Select car model : [[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> id: models]
2022-05-19 00:05:785 INFO  NewAndUsedCarSearchPage :52 - Select location : ACT - All
2022-05-19 00:05:851 INFO  NewAndUsedCarSearchPage :56 - Select price : [[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> id: priceTo]
2022-05-19 00:05:12 INFO  NewAndUsedCarSearchPage :60 - Click on find my car button : [[ChromeDriver: chrome on WINDOWS (d86b3b3757d0d1c6263d2c252bf7a747)] -> id: search-submit]
